"","Renovate1","EatIn1","FeeNo","Prewar1","Dining1","Dishwasher1","Marble1","HighCeiling1","Hardwood1","Deck1","Elevator1","LaundryNone","Cat1"
"18155",1,1,1,0,1,1,0,1,1,1,1,0,1
"18165",0,0,0,1,0,0,0,0,0,0,0,1,1
"18166",0,0,1,1,1,1,0,0,1,1,1,0,0
"18171",0,1,1,0,0,1,1,0,1,0,1,0,1
"18173",1,1,0,0,1,0,0,0,0,0,1,0,0
"18177",0,0,0,0,0,1,0,0,1,0,0,0,0
"18179",0,1,0,1,0,0,0,0,1,0,0,1,1
"18180",1,0,0,1,0,1,0,0,1,0,1,0,0
"18181",0,0,0,0,0,0,0,0,0,0,1,1,0
"18182",1,1,0,1,0,0,0,1,1,0,0,1,1
"18186",1,1,1,0,1,1,1,0,1,1,1,0,1
"18187",0,0,0,0,0,0,0,0,0,0,0,1,1
"18191",0,1,1,0,1,1,1,0,1,1,0,0,1
"18195",0,1,1,0,0,0,0,0,1,0,1,0,0
"18196",0,0,0,0,0,1,0,0,1,0,0,1,1
"18197",0,0,0,0,0,0,0,0,0,0,1,1,1
"18202",1,1,0,0,0,1,0,0,0,0,0,1,1
"18206",1,0,0,0,0,1,0,0,0,1,1,1,1
"18209",0,1,0,1,0,0,0,0,0,0,1,0,0
"18210",1,0,0,0,0,1,0,0,1,1,1,0,1
"18212",1,1,1,0,1,1,1,0,1,0,1,0,1
"18215",0,0,0,0,0,1,0,0,0,0,1,0,1
"18219",0,0,1,1,1,1,0,0,1,1,1,0,0
"18222",0,1,0,0,1,1,0,0,1,1,1,0,0
"18227",0,0,0,0,0,0,0,0,0,0,0,1,1
"18230",0,0,1,0,0,0,0,0,0,0,1,0,1
"18231",0,1,0,1,0,0,0,0,0,0,0,1,0
"18234",0,1,0,0,0,1,0,0,1,0,1,1,1
"18235",0,1,1,1,0,1,1,1,1,1,1,0,1
"18236",0,0,0,0,0,0,1,0,0,1,1,1,0
"18237",1,1,1,1,0,0,0,0,1,1,0,0,1
"18240",0,0,0,0,0,0,0,0,1,0,1,1,0
"18242",0,1,1,0,0,1,0,0,0,0,1,0,0
"18244",0,0,0,0,0,0,0,0,1,0,1,0,1
"18248",0,0,1,0,1,0,0,0,1,0,1,0,1
"18249",1,1,0,0,1,1,0,1,1,0,1,0,1
"18253",0,0,0,0,0,0,0,0,0,0,0,1,0
"18254",0,0,1,0,0,0,0,0,0,0,0,1,1
"18255",0,1,0,1,0,1,0,1,0,0,0,1,1
"18260",1,1,1,0,0,1,0,0,0,0,0,0,1
"18262",0,1,0,0,0,1,0,0,1,0,0,0,0
"18265",1,1,1,1,1,1,1,1,1,0,1,0,0
"18266",0,0,1,0,0,1,1,0,1,1,0,0,0
"18267",0,0,1,0,0,1,0,0,1,0,1,0,1
"18271",0,1,1,0,0,1,0,0,1,1,0,0,0
"18274",0,1,1,0,0,1,0,0,1,0,1,0,1
"18275",0,1,0,0,0,1,0,0,1,1,1,0,0
"18277",0,1,0,0,0,0,0,0,1,0,0,0,0
"18282",0,1,0,1,0,0,0,0,1,0,1,0,0
"18292",1,1,1,0,0,0,0,0,1,0,1,0,0
"18293",0,0,0,1,0,0,0,0,0,0,0,1,0
"18294",0,0,0,1,0,0,0,0,0,0,0,1,0
"18300",0,0,0,1,0,0,0,0,0,0,0,1,1
"18304",0,0,0,1,0,0,0,0,0,1,1,0,1
"18309",0,0,1,1,0,1,0,0,1,1,1,0,0
"18310",0,0,1,1,0,1,0,1,1,0,1,1,1
"18313",0,1,1,0,0,0,0,0,0,0,1,0,0
"18314",0,1,0,0,0,0,0,0,0,1,0,1,1
"18316",0,1,1,0,0,1,0,0,1,1,1,0,1
"18317",0,1,0,0,0,0,1,0,1,0,1,0,0
"18319",0,1,1,0,0,0,1,1,0,1,1,0,1
"18324",0,0,0,1,0,0,0,0,0,0,0,1,0
"18328",0,0,0,0,0,0,0,0,0,0,0,1,0
"18335",1,1,1,0,1,1,0,1,1,1,1,1,1
"18336",0,1,0,1,0,0,0,0,1,0,1,1,1
"18338",0,0,0,1,0,0,0,0,0,0,0,1,1
"18339",0,0,0,0,0,0,0,0,0,0,0,1,1
"18340",0,1,0,0,0,0,0,0,1,0,0,1,0
"18345",0,1,1,0,0,0,1,0,0,1,1,0,0
"18346",0,0,0,0,0,1,0,0,1,0,1,1,1
"18348",0,0,1,0,0,0,0,0,0,0,1,1,1
"18351",0,0,1,0,0,1,0,0,1,0,0,1,0
"18355",0,1,1,1,0,1,1,0,1,0,1,0,1
"18358",0,0,0,0,0,0,0,0,0,0,0,1,1
"18363",1,0,1,0,0,1,0,0,1,1,1,0,0
"18366",0,1,1,0,0,0,0,0,1,0,1,0,0
"18367",0,1,1,1,1,1,0,0,1,1,1,0,1
"18370",0,1,0,1,0,1,0,0,1,0,0,1,1
"18372",0,1,1,1,0,1,0,0,1,0,1,0,0
"18376",1,1,1,0,0,0,0,1,1,0,1,0,1
"18385",0,0,0,1,0,0,0,0,0,0,0,1,0
"18386",0,0,0,0,0,0,0,0,0,0,1,0,1
"18387",1,1,0,0,0,0,0,0,1,1,0,1,1
"18390",1,1,1,0,1,1,0,0,1,0,1,0,1
"18393",0,1,1,0,0,1,0,0,1,1,1,0,1
"18398",0,1,0,1,0,0,0,0,0,0,1,1,1
"18401",0,1,1,0,0,1,1,1,1,0,1,0,0
"18402",0,1,0,0,1,1,0,0,1,1,1,0,1
"18404",0,0,0,0,0,0,0,0,0,0,1,0,0
"18405",1,1,0,0,0,0,0,0,0,0,0,1,0
"18408",1,1,1,1,0,1,1,0,1,0,1,0,0
"18412",1,1,1,0,1,1,1,0,0,1,1,0,0
"18413",1,1,1,0,0,1,0,0,1,1,1,0,0
"18414",0,0,0,0,0,0,0,0,0,0,0,1,0
"18419",1,1,0,1,0,1,1,0,1,0,0,1,0
"18425",0,1,1,0,0,1,1,1,1,1,0,0,0
"18427",0,1,0,0,0,1,0,0,0,0,0,1,1
"18429",0,1,0,0,0,0,0,0,1,0,0,1,1
"18436",0,0,0,0,0,0,0,0,0,0,0,1,1
"18440",0,1,0,1,0,0,0,0,1,0,0,1,1
"18448",0,1,0,0,0,0,0,0,0,1,1,1,1
"18452",0,1,1,0,1,1,0,0,1,1,1,0,0
"18453",1,1,0,0,0,0,0,0,1,0,0,1,0
"18455",0,1,0,0,0,1,1,0,1,0,1,0,1
"18465",0,0,1,0,0,0,0,0,0,0,0,1,1
"18466",0,0,1,0,0,0,0,0,0,0,0,1,0
"18469",1,0,1,1,0,1,0,0,1,0,0,0,1
"18474",1,0,0,0,1,1,1,0,1,1,1,0,0
"18475",0,1,1,0,0,0,0,0,1,0,1,0,0
"18480",0,0,1,0,0,1,0,1,0,1,1,0,0
"18482",0,1,1,0,0,1,0,0,1,0,0,0,0
"18483",0,1,0,0,1,0,0,1,1,0,0,1,0
"18484",1,1,0,0,0,1,1,0,1,0,1,0,0
"18485",0,1,1,0,0,0,0,0,0,1,1,0,0
"18487",1,1,0,0,1,1,0,0,1,0,1,0,1
"18490",1,1,1,1,0,1,1,0,1,0,1,0,0
"18491",0,0,0,0,1,1,1,0,1,1,1,0,1
"18493",1,1,0,0,0,1,0,1,1,0,0,1,0
"18495",0,1,0,0,0,1,0,0,0,0,1,0,0
"18497",0,1,0,0,0,0,0,1,1,0,0,1,0
"18501",0,1,1,0,0,1,0,0,0,1,1,0,1
"18502",0,1,1,0,0,1,0,1,1,1,1,0,1
"18504",0,1,1,0,0,1,0,0,0,0,0,1,1
"18507",0,0,0,0,0,0,0,0,1,0,0,1,0
"18508",0,0,0,0,0,0,0,0,0,0,0,1,1
"18509",1,0,0,0,0,0,0,1,1,0,0,0,0
"18512",0,0,0,0,0,0,0,0,0,0,0,1,1
"18516",0,1,0,1,0,0,0,0,0,0,0,1,1
"18517",1,1,0,0,0,0,0,0,1,0,0,1,0
"18522",0,1,0,1,0,0,0,0,1,0,1,0,0
"18523",1,1,1,0,0,1,0,0,1,1,1,0,1
"18526",0,1,0,1,0,0,0,0,1,0,0,1,1
"18527",1,1,0,0,0,1,0,0,1,1,1,0,1
"18529",0,0,0,0,1,1,0,0,1,0,1,0,0
"18536",0,0,0,0,0,1,0,0,0,0,1,1,1
"18537",0,1,1,1,0,1,0,0,1,0,0,1,1
"18539",1,1,0,0,0,1,0,1,1,0,0,1,1
"18540",0,1,1,1,1,1,0,0,1,0,1,0,1
"18542",1,1,0,0,0,0,0,1,1,1,0,0,1
"18543",0,0,0,1,0,0,0,0,1,0,0,1,1
"18547",0,0,0,0,0,1,0,0,0,0,1,0,1
"18549",0,0,0,0,0,0,0,0,0,0,0,1,0
"18551",0,1,0,1,0,0,0,0,1,0,0,1,1
"18553",1,1,1,0,0,1,0,0,1,0,0,0,1
"18555",0,0,1,0,1,1,0,0,1,0,1,0,0
"18557",1,0,0,0,0,0,0,0,0,0,1,1,1
"18558",1,0,0,1,1,0,0,0,1,0,1,1,1
"18561",1,0,0,0,0,0,0,0,0,0,0,1,0
"18564",0,1,1,0,1,1,0,0,1,1,1,0,1
"18565",1,0,0,1,0,1,0,0,1,1,0,0,1
"18573",0,0,1,0,0,1,1,1,1,1,1,0,1
"18576",0,1,1,0,1,0,0,0,0,0,1,0,0
"18577",0,1,0,0,0,0,0,0,0,0,1,0,0
"18582",0,0,0,0,0,0,0,0,0,0,0,1,1
"18585",1,1,1,0,0,0,1,0,1,0,0,1,0
"18589",0,1,1,0,0,1,0,0,1,0,1,0,0
"18594",0,1,1,0,1,1,0,0,0,1,1,0,0
"18597",0,0,0,0,0,0,0,0,0,0,1,1,1
"18599",0,0,1,0,0,0,0,0,0,0,1,1,1
"18600",0,0,0,0,0,0,0,0,1,0,0,1,0
"18601",0,1,1,0,0,0,0,0,1,1,1,1,1
"18602",1,0,0,1,0,1,0,1,1,0,0,1,0
"18603",0,0,0,1,1,1,0,0,1,0,1,0,0
"18605",0,1,1,0,0,1,0,0,0,0,1,1,1
"18606",0,1,1,1,0,1,0,0,1,1,1,0,1
"18608",1,1,1,0,1,1,1,1,1,1,0,0,1
"18610",0,0,0,0,0,0,0,0,1,0,1,1,0
"18614",1,1,1,0,0,0,1,0,1,0,0,1,0
"18616",0,0,0,0,0,0,0,0,0,0,1,1,1
"18618",0,0,0,0,0,1,0,0,1,1,1,0,0
"18621",0,1,1,0,0,0,0,0,1,0,1,0,1
"18622",0,0,0,0,0,1,0,0,1,0,0,0,1
"18625",0,1,0,0,0,0,0,0,1,1,1,0,1
"18629",0,1,0,0,0,0,1,1,1,0,1,0,1
"18635",0,1,1,0,0,1,0,0,1,1,1,0,1
"18636",0,1,1,0,0,1,0,0,1,1,1,0,1
"18638",0,1,0,0,0,0,0,0,0,0,1,0,0
"18639",0,1,1,1,0,1,0,0,1,1,1,0,1
"18641",0,0,0,0,0,0,0,0,0,0,0,1,0
"18643",1,0,1,0,1,1,1,0,1,1,1,0,0
"18644",0,0,0,0,0,0,0,0,1,0,1,1,0
"18646",1,1,1,1,0,0,0,0,0,0,1,1,0
"18647",0,1,1,0,0,0,0,0,0,0,1,0,0
"18648",0,0,0,0,0,0,0,0,1,0,0,1,0
"18650",0,0,0,1,0,0,0,0,0,0,0,1,0
"18651",0,0,0,0,0,0,0,0,0,0,0,1,1
"18652",1,1,1,0,0,0,0,0,1,0,1,0,0
"18653",0,0,0,0,0,0,0,0,0,1,1,1,1
"18656",0,1,0,0,0,1,0,0,1,0,0,0,1
"18657",0,0,0,0,0,1,0,0,0,0,1,0,0
"18661",0,1,1,1,0,0,0,0,1,0,0,1,1
"18666",0,0,0,0,0,1,0,1,0,0,0,1,1
"18668",0,0,0,0,0,1,0,0,0,0,1,0,1
"18672",0,1,1,0,1,1,1,0,1,1,1,0,0
"18673",0,0,0,0,0,0,0,0,1,0,1,0,1
"18675",0,1,0,0,0,0,0,0,0,0,0,1,0
"18676",0,1,0,0,0,0,0,0,1,0,0,1,0
"18680",0,1,1,0,0,0,0,0,0,0,1,1,0
"18682",0,0,0,0,0,1,0,0,0,0,1,0,1
"18686",1,1,0,0,0,0,0,0,0,0,1,1,0
"18688",0,1,0,1,0,1,0,0,1,0,0,1,0
"18691",0,0,1,0,0,0,0,0,0,0,1,1,1
"18697",0,0,1,0,1,1,1,0,1,0,1,0,0
"18705",0,1,1,0,0,1,0,0,1,1,1,0,1
"18709",0,0,0,0,0,0,0,0,0,0,0,1,0
"18712",1,1,0,1,0,0,0,0,1,0,0,1,1
"18717",1,0,0,1,0,0,0,0,0,0,0,1,1
"18719",0,0,0,0,0,1,0,1,1,0,1,0,0
"18720",0,1,0,1,0,0,0,0,0,0,1,0,0
"18723",0,0,1,0,1,1,0,0,1,1,1,0,0
"18724",1,1,1,0,0,1,0,1,1,0,1,0,0
"18726",0,1,0,0,0,0,0,0,1,0,0,1,0
"18728",0,0,0,0,1,1,0,1,1,0,0,1,0
"18729",0,1,1,0,1,0,0,0,1,0,1,0,0
"18730",0,0,1,0,0,0,0,0,0,0,0,1,0
"18734",0,0,0,0,0,1,0,0,1,0,1,1,0
"18735",0,0,0,0,0,1,0,0,0,0,0,1,0
"18747",0,1,0,1,0,0,0,0,0,0,0,1,0
"18748",1,1,1,0,0,1,1,0,1,0,0,0,1
"18749",1,1,0,0,0,0,0,0,1,0,1,0,1
"18752",0,1,0,0,1,1,0,0,0,0,1,0,1
"18757",1,0,1,1,1,1,0,0,1,1,1,0,1
"18762",0,0,0,1,1,1,0,1,1,0,1,0,1
"18763",0,0,0,0,0,1,0,0,1,0,0,0,1
"18767",1,0,1,0,1,1,0,0,1,1,1,0,1
"18769",0,0,0,1,1,1,0,0,0,0,0,0,1
"18771",1,0,1,1,0,1,1,0,1,0,0,1,1
"18772",1,1,1,1,0,0,1,0,1,0,1,0,1
"18773",0,1,0,0,0,0,0,1,0,0,1,0,1
"18775",0,1,0,0,1,0,0,0,0,1,1,0,1
"18776",0,0,0,0,0,1,0,0,1,0,1,0,0
"18777",1,1,1,0,0,1,1,0,1,1,1,0,0
"18778",0,0,0,0,0,0,0,0,0,0,0,1,0
"18779",0,1,0,0,0,0,0,0,1,1,1,0,0
"18780",1,1,1,0,0,1,0,0,1,0,1,0,1
"18782",0,1,0,1,0,0,0,0,0,0,0,1,0
"18783",1,0,1,0,0,1,0,0,1,0,0,0,0
"18786",0,1,1,0,0,1,1,0,1,0,0,1,0
"18787",0,1,0,0,0,1,0,0,1,0,0,1,0
"18788",0,0,1,0,0,1,0,0,1,1,1,0,1
"18790",1,0,1,0,0,1,0,0,1,1,1,0,1
"18794",1,0,1,0,0,1,1,1,1,0,0,1,0
"18801",0,0,0,0,0,0,0,0,0,0,0,1,0
"18803",1,1,0,0,1,1,0,0,1,0,1,0,0
"18804",1,1,0,0,1,0,0,0,1,0,0,1,0
"18807",0,1,0,0,0,0,1,0,1,1,1,0,0
"18808",0,0,0,0,0,0,0,0,0,0,1,1,1
"18815",0,1,1,0,0,0,0,0,0,1,1,1,0
"18821",0,0,0,1,0,0,0,0,0,0,0,1,1
"18823",1,1,0,1,0,1,1,1,1,0,0,1,0
"18826",0,0,0,0,0,1,0,0,1,0,0,1,1
"18827",0,1,0,0,0,0,0,1,1,0,0,1,0
"18828",0,0,0,0,0,0,0,0,0,0,1,1,0
"18830",0,0,1,0,0,0,0,0,0,0,1,1,0
"18831",1,0,0,0,0,0,0,0,0,0,1,0,1
"18832",0,1,1,0,1,1,0,0,1,1,1,0,1
"18834",0,0,0,0,0,0,0,0,1,0,1,0,1
"18835",0,0,0,0,0,0,0,0,0,0,1,1,1
"18836",0,0,0,0,0,0,0,0,0,0,0,1,0
"18837",0,0,0,0,0,0,0,0,0,0,0,1,0
"18839",1,1,1,0,0,1,0,0,1,1,1,0,0
"18841",0,1,0,0,0,0,0,0,0,0,1,1,0
"18848",1,0,1,0,1,1,0,0,1,0,1,0,0
"18852",0,0,1,0,0,0,0,0,0,1,1,1,1
"18853",0,0,0,0,0,0,0,0,0,0,0,1,0
"18854",0,0,0,1,0,0,0,0,0,1,1,0,1
"18859",0,0,0,0,0,0,0,0,1,0,0,1,0
"18869",1,0,0,0,0,0,0,0,0,0,0,1,0
"18871",0,0,0,0,1,1,0,0,1,0,1,0,0
"18873",0,1,1,1,0,1,0,0,1,1,1,0,0
"18881",0,1,1,0,1,1,0,0,1,1,1,0,1
"18884",1,1,0,0,1,1,0,0,0,0,0,1,0
"18886",0,1,0,0,0,0,0,0,1,0,1,0,0
"18887",0,0,0,0,0,0,0,0,0,0,1,1,0
"18889",0,1,0,0,0,0,0,0,0,0,1,0,0
"18894",0,0,0,1,0,0,0,0,0,0,0,1,1
"18898",0,1,0,0,0,0,0,0,1,0,0,1,0
"18899",0,1,1,1,0,0,0,0,1,0,0,0,1
"18902",0,0,1,1,0,1,0,0,1,1,1,0,0
"18904",0,0,0,0,0,1,1,1,1,0,0,0,1
"18907",1,1,1,0,0,1,0,0,1,1,1,0,0
"18911",0,1,0,0,0,0,0,1,1,0,0,1,0
"18914",0,1,1,1,0,1,0,1,1,0,1,0,1
"18915",0,0,1,0,1,1,0,0,1,1,1,0,0
"18916",0,0,0,0,0,0,0,0,0,1,1,0,1
"18917",0,1,1,0,0,1,0,0,1,0,0,0,0
"18918",0,1,0,0,1,0,0,0,0,0,1,1,1
"18919",0,0,0,0,0,0,0,0,0,0,0,1,1
"18921",1,1,0,0,0,0,0,0,1,0,0,1,0
"18925",0,1,0,0,0,0,0,0,0,0,0,1,0
"18926",1,1,0,0,0,1,1,1,1,1,0,0,1
"18930",0,1,1,0,0,1,0,0,1,0,1,0,0
"18931",0,0,1,0,1,1,1,0,1,0,1,0,0
"18932",1,0,0,0,0,1,0,1,1,0,0,1,1
"18933",0,1,0,0,1,1,0,0,1,0,1,0,0
"18935",0,0,0,0,0,0,0,0,0,0,0,1,0
"18936",1,0,0,0,0,0,0,0,0,0,0,1,0
"18937",0,0,0,0,0,0,0,0,0,0,0,1,1
"18940",0,0,1,0,0,0,0,0,0,0,0,1,0
"18949",0,1,0,1,0,0,0,0,1,0,0,1,1
"18951",0,1,0,1,0,0,0,0,0,0,0,1,1
"18955",0,1,1,0,0,1,1,1,1,1,0,0,0
"18968",0,1,0,0,1,0,0,0,1,0,0,1,0
"18969",0,1,0,1,1,1,0,0,1,0,1,0,1
"18971",0,1,0,1,0,1,0,0,1,0,1,0,1
"18973",1,1,1,1,0,1,1,0,1,0,1,0,0
"18974",1,1,0,1,1,1,1,0,0,1,1,0,1
"18975",1,1,1,0,0,1,1,0,1,0,1,0,0
"18976",0,1,0,1,0,1,0,1,1,1,1,0,1
"18977",0,0,1,0,0,1,0,0,1,1,1,0,0
"18982",0,1,0,0,0,0,0,1,0,0,0,1,1
"18994",0,0,0,0,0,1,0,0,1,0,0,0,0
"18999",0,0,0,0,0,0,0,0,0,0,1,0,0
"19000",0,1,0,0,1,0,0,0,1,0,0,0,0
"19002",1,1,0,1,0,1,0,0,1,0,1,0,1
"19006",0,1,0,0,0,0,0,0,0,0,1,1,1
"19008",1,1,1,1,0,1,0,0,1,1,0,0,0
"19010",1,1,1,0,1,1,0,0,0,1,1,0,0
"19011",1,0,1,0,0,0,0,0,1,0,1,0,1
"19016",1,0,0,1,0,0,0,0,0,0,0,1,0
"19018",0,0,0,0,0,0,0,0,0,0,0,1,0
"19019",0,0,0,0,0,0,0,0,0,0,0,1,1
"19024",0,0,0,0,0,0,0,0,0,0,0,1,1
"19025",0,0,1,0,1,1,0,0,1,1,1,0,1
"19030",1,1,1,1,0,1,0,0,1,0,1,0,1
"19032",0,1,0,1,0,1,0,0,1,0,1,0,0
"19036",0,1,0,0,0,0,0,0,1,0,0,1,0
"19041",1,1,0,1,0,1,0,1,1,0,0,1,1
"19046",0,0,0,0,0,1,0,0,1,0,1,0,0
"19047",0,0,0,0,0,0,0,0,0,0,0,1,0
"19048",1,1,0,0,0,0,0,0,1,1,1,0,1
"19050",0,0,0,0,0,1,0,0,0,0,1,0,1
"19061",0,1,0,0,0,0,0,0,0,1,1,1,1
"19062",0,0,0,0,0,0,0,0,0,0,0,1,1
"19065",1,0,1,0,0,1,0,1,1,0,1,0,0
"19066",0,0,0,0,0,0,0,0,0,0,0,1,1
"19069",0,1,1,0,0,1,1,0,1,0,1,0,1
"19070",1,1,0,0,0,0,0,0,0,0,0,1,0
"19071",0,1,0,0,0,0,1,0,0,0,0,0,0
"19073",0,0,0,0,0,0,0,0,0,0,1,1,1
"19074",0,0,0,0,0,0,0,0,0,0,1,1,0
"19077",0,0,0,0,0,0,0,0,1,0,1,1,0
"19078",0,0,0,0,1,1,0,0,1,0,1,1,0
"19081",0,0,0,1,0,0,0,0,0,0,0,1,1
"19082",0,1,0,0,0,0,1,0,1,0,0,1,0
"19087",1,0,1,0,0,1,0,0,0,0,1,1,1
"19089",0,1,0,0,0,0,0,0,0,0,1,1,1
"19094",0,0,0,0,0,0,0,0,1,0,1,1,0
"19095",0,0,0,0,1,0,0,1,1,0,1,0,0
"19100",1,1,1,0,1,1,1,0,1,0,1,0,0
"19101",0,1,1,1,0,1,1,1,1,1,1,1,1
"19102",1,1,1,0,0,0,1,0,1,0,0,1,1
"19103",1,0,1,0,0,1,0,0,1,1,1,0,0
"19104",0,0,0,1,0,0,0,0,0,0,0,1,1
"19106",0,1,0,0,0,0,1,0,0,1,1,0,0
"19107",0,1,1,0,1,1,0,0,1,1,1,0,0
"19109",0,0,1,0,0,0,0,0,0,0,1,1,1
"19110",1,0,0,0,0,1,0,1,1,0,0,0,0
"19111",0,0,1,0,1,1,0,0,1,0,1,1,0
"19112",0,1,0,0,0,0,0,0,0,0,0,1,0
"19113",1,1,0,1,1,1,0,1,0,0,1,0,1
"19114",1,0,1,0,0,1,1,0,1,1,1,0,0
"19115",1,1,0,0,0,0,0,0,0,0,0,1,1
"19116",1,0,0,1,0,1,0,1,1,0,0,1,1
"19118",1,1,1,1,1,1,0,0,1,1,1,0,0
"19120",0,1,0,0,0,0,0,0,0,0,1,1,0
"19121",0,1,1,0,0,0,0,0,0,0,0,0,0
"19124",0,0,0,1,1,1,0,0,1,0,1,0,1
"19126",0,1,0,0,0,0,0,0,1,0,0,1,0
"19127",0,1,0,0,0,0,0,1,1,0,0,1,1
"19129",0,1,0,0,0,0,0,1,1,0,0,1,0
"19140",0,1,0,0,0,1,0,1,1,1,1,0,1
"19141",0,1,0,1,0,0,0,0,0,0,0,1,0
"19145",0,1,1,0,0,0,0,0,0,0,1,1,1
"19146",1,0,1,0,0,1,1,0,1,1,1,0,0
"19150",0,0,0,0,0,0,0,0,1,0,0,1,0
"19151",0,0,0,0,0,0,0,0,0,0,0,1,0
"19156",0,1,1,0,0,0,0,0,0,0,0,0,1
"19157",0,1,1,0,0,0,0,0,0,1,1,1,0
"19165",0,0,0,0,0,0,0,0,0,0,0,1,0
"19168",1,1,0,1,0,0,0,1,1,0,0,1,1
"19169",0,0,0,0,0,1,0,0,1,1,0,0,1
"19171",0,0,1,0,0,0,0,0,0,1,1,1,1
"19173",0,0,0,0,0,0,0,0,1,0,1,0,1
"19175",0,0,0,0,0,1,0,0,1,0,1,1,1
"19179",0,1,0,0,1,1,0,0,1,0,0,1,0
"19184",0,1,1,0,1,1,0,0,1,0,1,0,1
"19186",0,0,1,0,0,0,0,0,0,0,0,0,1
"19198",0,0,1,0,0,1,1,0,1,0,0,0,1
"19199",1,0,1,0,0,0,1,1,1,0,1,0,0
"19200",0,1,0,0,0,0,0,0,0,0,1,0,1
"19201",0,1,1,0,0,1,0,0,1,0,1,0,1
"19202",1,1,1,0,0,1,0,0,1,0,0,0,1
"19204",1,1,1,1,0,1,1,0,1,0,0,0,1
"19208",0,1,0,0,1,0,1,1,1,0,1,1,1
"19209",0,1,0,0,0,0,0,0,0,0,1,1,0
"19210",1,1,1,0,0,1,1,0,1,0,1,0,0
"19212",0,0,0,0,0,1,0,0,0,0,1,0,1
"19219",0,1,1,0,0,1,0,0,1,1,1,0,1
"19220",1,1,1,0,1,1,0,0,1,1,1,0,1
"19221",0,0,0,0,0,0,0,0,0,0,1,0,0
"19224",0,0,1,0,0,1,0,0,1,0,1,0,1
"19228",0,1,0,0,0,1,0,0,0,0,0,1,1
"19233",0,0,0,0,0,0,0,0,1,0,0,1,0
"19235",0,1,1,0,0,1,0,0,1,1,1,0,1
"19236",1,1,1,0,0,1,1,0,1,0,0,0,1
"19241",1,0,1,1,1,1,0,0,1,1,1,0,0
"19245",1,0,1,0,1,1,0,0,1,0,1,0,1
"19251",0,0,1,0,1,1,0,0,1,1,1,0,1
"19259",1,0,0,1,0,1,0,1,0,0,1,0,1
"19263",0,1,0,0,0,1,0,0,1,0,1,1,0
"19265",0,0,1,0,0,1,0,0,1,0,1,0,0
"19268",0,1,0,0,0,0,0,0,0,0,1,1,1
"19269",0,1,0,0,0,0,0,0,1,0,0,1,0
"19270",1,0,1,0,0,1,0,0,1,0,1,0,0
"19271",0,0,0,0,0,0,0,0,1,0,0,1,0
"19273",0,0,0,0,0,1,0,0,1,0,1,0,1
"19274",0,1,0,0,1,1,0,0,1,0,1,0,0
"19277",1,0,1,0,0,1,0,0,1,1,1,0,1
"19281",1,1,0,0,0,0,0,0,0,0,0,1,1
"19288",0,0,0,0,0,1,0,0,1,0,1,1,1
"19293",0,0,0,1,1,1,0,0,1,0,1,1,0
"19297",0,1,0,0,0,1,1,0,1,1,0,1,0
"19300",0,0,0,1,0,0,0,0,1,0,0,1,1
"19301",1,0,0,1,0,0,0,0,0,0,0,1,0
"19306",1,1,0,1,1,0,0,1,1,0,1,0,0
"19307",0,0,0,0,0,1,0,0,1,1,1,0,0
"19312",1,0,0,0,0,1,0,0,1,0,1,0,1
"19314",0,1,0,1,0,0,0,0,1,0,1,0,1
"19316",0,1,0,0,0,0,0,0,0,0,0,0,0
"19326",0,1,1,0,1,1,1,1,1,0,1,0,1
"19330",0,1,1,0,0,0,0,0,0,0,0,0,0
"19333",0,0,1,0,0,0,0,0,0,0,1,0,0
"19334",0,1,1,0,1,0,0,0,1,1,0,1,0
"19335",0,0,0,0,0,0,0,0,0,0,0,1,0
"19336",0,0,1,0,0,0,0,0,1,1,0,1,0
"19337",0,1,0,0,0,1,0,0,1,1,1,0,1
"19338",0,1,0,0,0,1,0,0,0,0,0,1,1
"19339",0,0,0,0,0,0,0,0,0,0,1,1,0
"19342",0,1,0,1,0,0,0,0,1,0,0,1,0
"19344",1,0,0,0,0,0,0,1,0,0,0,1,0
"19347",0,1,1,0,0,1,1,0,0,0,1,0,1
"19348",0,1,0,0,0,0,0,0,0,0,1,0,0
"19349",0,1,0,1,0,1,0,0,1,0,1,0,0
"19350",1,1,0,0,0,1,1,0,1,0,1,0,1
"19356",0,1,0,0,0,1,0,0,0,0,1,1,0
"19357",0,1,1,1,1,1,0,0,1,0,1,0,0
"19362",0,0,0,0,0,0,0,0,0,0,1,1,0
"19364",1,1,0,0,0,0,0,0,0,1,0,0,0
"19365",0,1,0,0,1,1,0,0,1,0,0,1,1
"19370",0,1,1,0,0,1,0,0,1,0,1,0,0
"19372",0,1,0,0,0,0,0,0,0,0,0,1,0
"19373",0,0,0,0,0,0,0,0,0,0,0,1,0
"19375",0,1,0,0,1,0,0,0,0,0,1,1,1
"19377",0,0,0,0,1,1,0,0,1,1,1,0,0
"19379",1,1,1,0,0,1,1,0,1,0,0,1,1
"19380",0,1,1,0,0,1,1,0,1,0,1,0,0
"19383",1,1,1,0,0,0,1,0,0,1,1,0,0
"19385",0,0,0,0,0,0,0,0,0,0,1,1,1
"19387",0,1,0,1,0,0,0,0,1,0,0,1,1
"19389",0,1,0,0,1,1,0,0,1,1,1,0,1
"19391",0,0,1,0,0,1,0,0,1,1,1,0,0
"19392",0,0,0,1,0,1,0,0,1,0,1,0,0
